"Label (Grouping)","Population 5 years and over","Population 5 years and over!!Speak only English","Population 5 years and over!!Speak a language other than English","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Spanish","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Spanish!!5 to 17 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Spanish!!18 to 64 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Spanish!!65 years old and over","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other Indo-European languages","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other Indo-European languages!!5 to 17 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other Indo-European languages!!18 to 64 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other Indo-European languages!!65 years old and over","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Asian and Pacific Island languages","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Asian and Pacific Island languages!!5 to 17 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Asian and Pacific Island languages!!18 to 64 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Asian and Pacific Island languages!!65 years old and over","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other languages","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other languages!!5 to 17 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other languages!!18 to 64 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other languages!!65 years old and over","CITIZENS 18 YEARS AND OVER","CITIZENS 18 YEARS AND OVER!!All citizens 18 years old and over","CITIZENS 18 YEARS AND OVER!!All citizens 18 years old and over!!Speak only English","CITIZENS 18 YEARS AND OVER!!All citizens 18 years old and over!!Speak a language other than English","CITIZENS 18 YEARS AND OVER!!All citizens 18 years old and over!!Speak a language other than English!!Spanish","CITIZENS 18 YEARS AND OVER!!All citizens 18 years old and over!!Speak a language other than English!!Other languages"
"        Estimate","(X)","88.2%","11.8%","","7.9%","1.5%","5.8%","0.6%","2.6%","0.0%","1.8%","0.8%","0.9%","0.1%","0.6%","0.3%","0.4%","0.0%","0.3%","0.1%","","(X)","90.8%","9.2%","5.0%","4.2%"
"        Margin of Error","(X)","±3.6","±3.6","","±3.4","±1.1","±2.5","±0.5","±1.2","±0.1","±1.1","±0.5","±0.5","±0.1","±0.3","±0.2","±0.5","±0.2","±0.5","±0.2","","(X)","±2.4","±2.4","±1.8","±1.8"
"    Percent of specified language speakers","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","18,386","(X)","1,642","","1,036","255","729","52","408","5","320","83","118","12","57","49","80","0","58","22","","14,446","(X)","1,098","604","494"
"            Margin of Error","±1,013","(X)","±498","","±447","±204","±305","±55","±204","±11","±195","±50","±60","±22","±36","±41","±101","±22","±94","±33","","±956","(X)","±323","±249","±223"
"        Percent speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","96.8%","(X)","73.3%","","69.3%","90.4%","66.1%","47.7%","82.4%","100.0%","92.2%","58.0%","69.0%","100.0%","51.8%","100.0%","100.0%","-","100.0%","100.0%","","98.3%","(X)","81.1%","81.8%","80.2%"
"            Margin of Error","±1.4","(X)","±8.1","","±10.2","±12.3","±10.7","±45.8","±13.0","±100.0","±7.4","±25.6","±18.1","±100.0","±30.0","±49.9","±39.0","**","±45.8","±74.4","","±0.6","(X)","±7.5","±10.4","±11.6"
"        Speak English  less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","598","(X)","598","","458","27","374","57","87","0","27","60","53","0","53","0","0","0","0","0","","256","(X)","256","134","122"
"            Margin of Error","±281","(X)","±281","","±279","±33","±227","±75","±68","±22","±24","±65","±46","±22","±46","±22","±22","±22","±22","±22","","±96","(X)","±96","±70","±78"
"        Percent speak English less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","3.2%","(X)","26.7%","","30.7%","9.6%","33.9%","52.3%","17.6%","0.0%","7.8%","42.0%","31.0%","0.0%","48.2%","0.0%","0.0%","-","0.0%","0.0%","","1.7%","(X)","18.9%","18.2%","19.8%"
"            Margin of Error","±1.4","(X)","±8.1","","±10.2","±12.3","±10.7","±45.8","±13.0","±100.0","±7.4","±25.6","±18.1","±100.0","±30.0","±49.9","±39.0","**","±45.8","±74.4","","±0.6","(X)","±7.5","±10.4","±11.6"
"ZCTA5 78735","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","16,998","12,952","4,046","","2,487","732","1,644","111","521","0","425","96","915","200","638","77","123","37","86","0","","12,469","10,732","1,737","950","787"
"        Margin of Error","±1,308","±1,254","±678","","±623","±373","±355","±76","±242","±22","±221","±90","±373","±129","±271","±72","±154","±48","±106","±22","","±975","±979","±369","±261","±264"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","76.2%","23.8%","","14.6%","4.3%","9.7%","0.7%","3.1%","0.0%","2.5%","0.6%","5.4%","1.2%","3.8%","0.5%","0.7%","0.2%","0.5%","0.0%","","(X)","86.1%","13.9%","7.6%","6.3%"
"        Margin of Error","(X)","±3.8","±3.8","","±3.5","±2.1","±2.0","±0.5","±1.4","±0.3","±1.3","±0.5","±2.3","±0.8","±1.6","±0.4","±0.9","±0.3","±0.6","±0.3","","(X)","±3.0","±3.0","±2.1","±2.1"
"    Percent of specified language speakers","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","15,740","(X)","2,788","","1,574","509","954","111","456","0","373","83","695","190","472","33","63","7","56","0","","12,217","(X)","1,485","848","637"
"            Margin of Error","±1,302","(X)","±569","","±480","±361","±270","±76","±237","±22","±213","±87","±298","±124","±215","±36","±75","±12","±66","±22","","±963","(X)","±300","±237","±209"
"        Percent speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","92.6%","(X)","68.9%","","63.3%","69.5%","58.0%","100.0%","87.5%","-","87.8%","86.5%","76.0%","95.0%","74.0%","42.9%","51.2%","18.9%","65.1%","-","","98.0%","(X)","85.5%","89.3%","80.9%"
"            Margin of Error","±2.4","(X)","±8.5","","±13.2","±31.4","±11.6","±32.0","±11.1","**","±13.4","±20.8","±12.4","±9.0","±12.1","±48.0","±34.3","±44.9","±26.9","**","","±1.3","(X)","±8.3","±7.3","±14.3"
"        Speak English  less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","1,258","(X)","1,258","","913","223","690","0","65","0","52","13","220","10","166","44","60","30","30","0","","252","(X)","252","102","150"
"            Margin of Error","±410","(X)","±410","","±422","±235","±252","±22","±56","±22","±55","±20","±147","±17","±104","±61","±93","±46","±47","±22","","±166","(X)","±166","±77","±133"
"        Percent speak English less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","7.4%","(X)","31.1%","","36.7%","30.5%","42.0%","0.0%","12.5%","-","12.2%","13.5%","24.0%","5.0%","26.0%","57.1%","48.8%","81.1%","34.9%","-","","2.0%","(X)","14.5%","10.7%","19.1%"
"            Margin of Error","±2.4","(X)","±8.5","","±13.2","±31.4","±11.6","±32.0","±11.1","**","±13.4","±20.8","±12.4","±9.0","±12.1","±48.0","±34.3","±44.9","±26.9","**","","±1.3","(X)","±8.3","±7.3","±14.3"
"ZCTA5 78736","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,602","8,538","1,064","","883","110","749","24","58","0","34","24","44","0","30","14","79","0","79","0","","7,835","7,165","670","510","160"
"        Margin of Error","±1,235","±1,148","±516","","±512","±94","±499","±35","±51","±22","±41","±29","±60","±22","±37","±25","±123","±22","±123","±22","","±986","±976","±301","±269","±147"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","88.9%","11.1%","","9.2%","1.1%","7.8%","0.2%","0.6%","0.0%","0.4%","0.2%","0.5%","0.0%","0.3%","0.1%","0.8%","0.0%","0.8%","0.0%","","(X)","91.4%","8.6%","6.5%","2.0%"
"        Margin of Error","(X)","±5.0","±5.0","","±5.0","±1.0","±4.9","±0.4","±0.6","±0.5","±0.4","±0.3","±0.6","±0.5","±0.4","±0.3","±1.3","±0.5","±1.3","±0.5","","(X)","±3.8","±3.8","±3.4","±1.9"
"    Percent of specified language speakers","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","9,331","(X)","793","","625","110","491","24","45","0","21","24","44","0","30","14","79","0","79","0","","7,774","(X)","609","462","147"
"            Margin of Error","±1,172","(X)","±324","","±297","±94","±275","±35","±45","±22","±33","±29","±60","±22","±37","±25","±123","±22","±123","±22","","±986","(X)","±298","±262","±145"
"        Percent speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","97.2%","(X)","74.5%","","70.8%","100.0%","65.6%","100.0%","77.6%","-","61.8%","100.0%","100.0%","-","100.0%","100.0%","100.0%","-","100.0%","-","","99.2%","(X)","90.9%","90.6%","91.9%"
"            Margin of Error","±2.5","(X)","±14.7","","±15.3","±32.2","±15.3","±71.2","±34.8","**","±56.3","±71.2","±52.6","**","±63.7","±93.3","±39.3","**","±39.3","**","","±0.7","(X)","±9.0","±11.2","±16.0"
"        Speak English  less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","271","(X)","271","","258","0","258","0","13","0","13","0","0","0","0","0","0","0","0","0","","61","(X)","61","48","13"
"            Margin of Error","±246","(X)","±246","","±247","±22","±247","±22","±22","±22","±22","±22","±22","±22","±22","±22","±22","±22","±22","±22","","±57","(X)","±57","±54","±22"
"        Percent speak English less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","2.8%","(X)","25.5%","","29.2%","0.0%","34.4%","0.0%","22.4%","-","38.2%","0.0%","0.0%","-","0.0%","0.0%","0.0%","-","0.0%","-","","0.8%","(X)","9.1%","9.4%","8.1%"
"            Margin of Error","±2.5","(X)","±14.7","","±15.3","±32.2","±15.3","±71.2","±34.8","**","±56.3","±71.2","±52.6","**","±63.7","±93.3","±39.3","**","±39.3","**","","±0.7","(X)","±9.0","±11.2","±16.0"
"ZCTA5 78737","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","19,309","17,407","1,902","","1,217","307","768","142","418","47","214","157","245","20","225","0","22","7","15","0","","13,153","11,846","1,307","771","536"
"        Margin of Error","±1,937","±1,900","±524","","±424","±238","±252","±94","±240","±54","±125","±160","±197","±37","±166","±26","±33","±11","±22","±26","","±1,113","±1,061","±326","±237","±252"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","90.1%","9.9%","","6.3%","1.6%","4.0%","0.7%","2.2%","0.2%","1.1%","0.8%","1.3%","0.1%","1.2%","0.0%","0.1%","0.0%","0.1%","0.0%","","(X)","90.1%","9.9%","5.9%","4.1%"
"        Margin of Error","(X)","±2.7","±2.7","","±2.2","±1.2","±1.3","±0.5","±1.3","±0.3","±0.7","±0.8","±1.0","±0.2","±0.8","±0.2","±0.2","±0.1","±0.1","±0.2","","(X)","±2.4","±2.4","±1.8","±1.8"
"    Percent of specified language speakers","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","18,897","(X)","1,490","","1,020","301","577","142","228","21","172","35","220","20","200","0","22","7","15","0","","12,835","(X)","989","623","366"
"            Margin of Error","±1,911","(X)","±425","","±339","±239","±158","±94","±128","±34","±110","±31","±195","±37","±163","±26","±33","±11","±22","±26","","±1,098","(X)","±262","±175","±180"
"        Percent speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","97.9%","(X)","78.3%","","83.8%","98.0%","75.1%","100.0%","54.5%","44.7%","80.4%","22.3%","89.8%","100.0%","88.9%","-","100.0%","100.0%","100.0%","-","","97.6%","(X)","75.7%","80.8%","68.3%"
"            Margin of Error","±1.2","(X)","±9.8","","±11.2","±6.7","±15.7","±26.6","±23.4","±55.3","±17.3","±33.3","±15.9","±78.0","±16.5","**","±74.4","±100.0","±90.1","**","","±1.4","(X)","±12.2","±13.1","±22.7"
"        Speak English  less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","412","(X)","412","","197","6","191","0","190","26","42","122","25","0","25","0","0","0","0","0","","318","(X)","318","148","170"
"            Margin of Error","±231","(X)","±231","","±169","±17","±162","±26","±172","±41","±41","±156","±33","±26","±33","±26","±26","±26","±26","±26","","±193","(X)","±193","±128","±162"
"        Percent speak English less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","2.1%","(X)","21.7%","","16.2%","2.0%","24.9%","0.0%","45.5%","55.3%","19.6%","77.7%","10.2%","0.0%","11.1%","-","0.0%","0.0%","0.0%","-","","2.4%","(X)","24.3%","19.2%","31.7%"
"            Margin of Error","±1.2","(X)","±9.8","","±11.2","±6.7","±15.7","±26.6","±23.4","±55.3","±17.3","±33.3","±15.9","±78.0","±16.5","**","±74.4","±100.0","±90.1","**","","±1.4","(X)","±12.2","±13.1","±22.7"
"ZCTA5 78738","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","14,528","12,174","2,354","","1,080","166","844","70","575","118","390","67","675","142","447","86","24","0","24","0","","11,169","9,585","1,584","853","731"
"        Margin of Error","±738","±758","±492","","±396","±104","±339","±58","±232","±100","±179","±39","±337","±137","±201","±73","±37","±22","±37","±22","","±725","±687","±399","±330","±259"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","83.8%","16.2%","","7.4%","1.1%","5.8%","0.5%","4.0%","0.8%","2.7%","0.5%","4.6%","1.0%","3.1%","0.6%","0.2%","0.0%","0.2%","0.0%","","(X)","85.8%","14.2%","7.6%","6.5%"
"        Margin of Error","(X)","±3.3","±3.3","","±2.6","±0.7","±2.3","±0.4","±1.6","±0.7","±1.2","±0.3","±2.3","±0.9","±1.4","±0.5","±0.3","±0.3","±0.3","±0.3","","(X)","±3.4","±3.4","±2.8","±2.3"
"    Percent of specified language speakers","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","14,171","(X)","1,997","","1,010","158","789","63","504","118","319","67","469","142","292","35","14","0","14","0","","10,929","(X)","1,344","791","553"
"            Margin of Error","±730","(X)","±455","","±364","±102","±306","±55","±214","±100","±161","±39","±261","±137","±145","±42","±21","±22","±21","±22","","±697","(X)","±352","±301","±205"
"        Percent speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","97.5%","(X)","84.8%","","93.5%","95.2%","93.5%","90.0%","87.7%","100.0%","81.8%","100.0%","69.5%","100.0%","65.3%","40.7%","58.3%","-","58.3%","-","","97.9%","(X)","84.8%","92.7%","75.6%"
