"Label (Grouping)","Population 3 years and over enrolled in school","Population 3 years and over enrolled in school!!Nursery school, preschool","Population 3 years and over enrolled in school!!Kindergarten to 12th grade","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Kindergarten","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 1 to grade 4","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 5 to grade 8","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!High school: grade 9 to grade 12","Population 3 years and over enrolled in school!!College, undergraduate","Population 3 years and over enrolled in school!!Graduate, professional school","Population enrolled in college or graduate school","Population enrolled in college or graduate school!!Males enrolled in college or graduate school","Population enrolled in college or graduate school!!Females enrolled in college or graduate school","Population 3 to 4 years","Population 3 to 4 years!!3 to 4 year olds enrolled in school","Population 5 to 9 years","Population 5 to 9 years!!5 to 9 year olds enrolled in school","Population 10 to 14 years","Population 10 to 14 years!!10 to 14 year olds enrolled in school","Population 15 to 17","Population 15 to 17!!15 to 17 year olds enrolled in school","Population 18 to 19 years","Population 18 to 19 years!!18 and 19 year olds enrolled in school","Population 20 to 24 years","Population 20 to 24 years!!20 to 24 year olds enrolled in school","Population 25 to 34 years","Population 25 to 34 years!!25 to 34 year olds enrolled in school","Population 35 years and over","Population 35 years and over!!35 years and over enrolled in school","Population 18 to 24 years","Population 18 to 24 years!!Enrolled in college or graduate school","Population 18 to 24 years!!Males 18 to 24 years","Population 18 to 24 years!!Males 18 to 24 years!!Enrolled in college or graduate school","Population 18 to 24 years!!Females 18 to 24 years","Population 18 to 24 years!!Females 18 to 24 years!!Enrolled in college or graduate school"
"        Estimate","(X)","378","1,100","51","447","358","244","56","197","253","144","109","(X)","321","(X)","527","(X)","403","(X)","199","(X)","37","(X)","42","(X)","151","(X)","51","(X)","51","(X)","30","(X)","21"
"        Margin of Error","(X)","±121","±312","±41","±235","±149","±100","±46","±137","±141","±123","±65","(X)","±105","(X)","±250","(X)","±166","(X)","±84","(X)","±28","(X)","±40","(X)","±132","(X)","±43","(X)","±42","(X)","±34","(X)","±19"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","27.7%","74.7%","31.6%","19.4%","33.6%","38.3%","25.5%","5.2%","16.7%","11.2%","11.2%","11.3%","(X)","71.5%","(X)","34.1%","(X)","32.1%","(X)","29.4%","(X)","17.1%","(X)","6.2%","(X)","14.4%","(X)","13.7%","(X)","6.1%","(X)","6.3%","(X)","5.9%"
"        Margin of Error","±4.9","±12.9","±6.8","±14.9","±12.8","±11.7","±10.0","±4.2","±10.4","±5.8","±8.8","±6.4","(X)","±14.0","(X)","±11.3","(X)","±10.4","(X)","±10.8","(X)","±13.4","(X)","±5.7","(X)","±11.4","(X)","±12.7","(X)","±5.0","(X)","±7.1","(X)","±5.2"
"ZCTA5 78732","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,975","474","4,707","172","989","1,756","1,790","613","181","794","255","539","683","458","1,097","920","2,201","2,142","1,577","1,577","131","94","1,342","394","1,094","46","9,845","344","1,473","404","240","124","1,233","280"
"        Margin of Error","±1,315","±222","±950","±99","±338","±542","±533","±456","±174","±490","±138","±459","±246","±218","±356","±313","±607","±595","±507","±507","±78","±82","±1,079","±413","±467","±74","±1,068","±253","±1,091","±413","±86","±55","±1,112","±408"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","7.9%","78.8%","2.9%","16.6%","29.4%","30.0%","10.3%","3.0%","13.3%","9.2%","16.8%","(X)","67.1%","(X)","83.9%","(X)","97.3%","(X)","100.0%","(X)","71.8%","(X)","29.4%","(X)","4.2%","(X)","3.5%","(X)","27.4%","(X)","51.7%","(X)","22.7%"
"        Margin of Error","(X)","±4.2","±5.4","±1.8","±6.4","±5.4","±5.6","±5.9","±2.9","±6.1","±4.8","±10.9","(X)","±19.7","(X)","±16.7","(X)","±4.3","(X)","±2.8","(X)","±37.3","(X)","±39.5","(X)","±6.8","(X)","±2.6","(X)","±34.8","(X)","±20.5","(X)","±39.4"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","20","4,520","164","897","1,709","1,750","459","181","640","111","529","(X)","20","(X)","850","(X)","2,049","(X)","1,537","(X)","84","(X)","342","(X)","46","(X)","252","(X)","342","(X)","72","(X)","270"
"        Margin of Error","(X)","±34","±945","±97","±307","±543","±525","±438","±174","±466","±91","±460","(X)","±34","(X)","±310","(X)","±591","(X)","±502","(X)","±80","(X)","±418","(X)","±74","(X)","±190","(X)","±418","(X)","±55","(X)","±409"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","86.7%","4.2%","96.0%","95.3%","90.7%","97.3%","97.8%","74.9%","100.0%","80.6%","43.5%","98.1%","(X)","4.4%","(X)","92.4%","(X)","95.7%","(X)","97.5%","(X)","89.4%","(X)","86.8%","(X)","100.0%","(X)","73.3%","(X)","84.7%","(X)","58.1%","(X)","96.4%"
"        Margin of Error","±5.5","±7.0","±3.4","±7.3","±13.0","±3.4","±3.0","±25.7","±21.8","±17.6","±30.6","±4.2","(X)","±7.2","(X)","±8.5","(X)","±4.4","(X)","±3.5","(X)","±22.5","(X)","±29.5","(X)","±51.5","(X)","±19.7","(X)","±30.7","(X)","±45.4","(X)","±13.2"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","454","187","8","92","47","40","154","0","154","144","10","(X)","438","(X)","70","(X)","93","(X)","40","(X)","10","(X)","52","(X)","0","(X)","92","(X)","62","(X)","52","(X)","10"
"        Margin of Error","(X)","±217","±159","±12","±138","±57","±53","±117","±22","±117","±116","±17","(X)","±212","(X)","±77","(X)","±91","(X)","±53","(X)","±17","(X)","±69","(X)","±22","(X)","±101","(X)","±71","(X)","±69","(X)","±17"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","13.3%","95.8%","4.0%","4.7%","9.3%","2.7%","2.2%","25.1%","0.0%","19.4%","56.5%","1.9%","(X)","95.6%","(X)","7.6%","(X)","4.3%","(X)","2.5%","(X)","10.6%","(X)","13.2%","(X)","0.0%","(X)","26.7%","(X)","15.3%","(X)","41.9%","(X)","3.6%"
"        Margin of Error","±5.5","±7.0","±3.4","±7.3","±13.0","±3.4","±3.0","±25.7","±21.8","±17.6","±30.6","±4.2","(X)","±7.2","(X)","±8.5","(X)","±4.4","(X)","±3.5","(X)","±22.5","(X)","±29.5","(X)","±51.5","(X)","±19.7","(X)","±30.7","(X)","±45.4","(X)","±13.2"
"ZCTA5 78733","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,010","284","2,454","80","797","837","740","146","126","272","177","95","323","284","856","795","999","999","562","562","158","158","87","26","303","61","5,288","125","245","86","160","60","85","26"
"        Margin of Error","±556","±153","±543","±50","±290","±273","±164","±62","±88","±107","±77","±76","±154","±153","±321","±303","±269","±269","±134","±134","±76","±76","±59","±23","±156","±57","±566","±82","±89","±43","±73","±37","±53","±30"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","9.4%","81.5%","2.7%","26.5%","27.8%","24.6%","4.9%","4.2%","9.0%","10.0%","7.6%","(X)","87.9%","(X)","92.9%","(X)","100.0%","(X)","100.0%","(X)","100.0%","(X)","29.9%","(X)","20.1%","(X)","2.4%","(X)","35.1%","(X)","37.5%","(X)","30.6%"
"        Margin of Error","(X)","±5.2","±6.4","±1.8","±6.7","±5.6","±5.6","±2.2","±2.8","±3.5","±4.1","±5.9","(X)","±11.5","(X)","±8.1","(X)","±4.4","(X)","±7.7","(X)","±24.4","(X)","±21.2","(X)","±14.3","(X)","±1.6","(X)","±16.3","(X)","±22.9","(X)","±27.4"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","90","2,122","46","750","698","628","112","94","206","131","75","(X)","90","(X)","729","(X)","845","(X)","483","(X)","111","(X)","22","(X)","29","(X)","109","(X)","68","(X)","46","(X)","22"
"        Margin of Error","(X)","±82","±442","±34","±287","±197","±149","±52","±70","±85","±58","±70","(X)","±82","(X)","±303","(X)","±208","(X)","±125","(X)","±59","(X)","±22","(X)","±30","(X)","±75","(X)","±40","(X)","±35","(X)","±29"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","80.3%","31.7%","86.5%","57.5%","94.1%","83.4%","84.9%","76.7%","74.6%","75.7%","74.0%","78.9%","(X)","31.7%","(X)","91.7%","(X)","84.6%","(X)","85.9%","(X)","70.3%","(X)","84.6%","(X)","47.5%","(X)","87.2%","(X)","79.1%","(X)","76.7%","(X)","84.6%"
"        Margin of Error","±4.8","±18.7","±5.3","±29.4","±6.8","±11.1","±9.4","±19.3","±29.2","±16.5","±22.5","±29.3","(X)","±18.7","(X)","±6.6","(X)","±9.9","(X)","±10.2","(X)","±18.0","(X)","±27.8","(X)","±42.2","(X)","±19.5","(X)","±22.0","(X)","±28.3","(X)","±32.2"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","194","332","34","47","139","112","34","32","66","46","20","(X)","194","(X)","66","(X)","154","(X)","79","(X)","47","(X)","4","(X)","32","(X)","16","(X)","18","(X)","14","(X)","4"
"        Margin of Error","(X)","±99","±170","±34","±52","±121","±76","±33","±44","±56","±47","±28","(X)","±99","(X)","±47","(X)","±122","(X)","±61","(X)","±38","(X)","±8","(X)","±44","(X)","±27","(X)","±21","(X)","±17","(X)","±8"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","19.7%","68.3%","13.5%","42.5%","5.9%","16.6%","15.1%","23.3%","25.4%","24.3%","26.0%","21.1%","(X)","68.3%","(X)","8.3%","(X)","15.4%","(X)","14.1%","(X)","29.7%","(X)","15.4%","(X)","52.5%","(X)","12.8%","(X)","20.9%","(X)","23.3%","(X)","15.4%"
"        Margin of Error","±4.8","±18.7","±5.3","±29.4","±6.8","±11.1","±9.4","±19.3","±29.2","±16.5","±22.5","±29.3","(X)","±18.7","(X)","±6.6","(X)","±9.9","(X)","±10.2","(X)","±18.0","(X)","±27.8","(X)","±42.2","(X)","±19.5","(X)","±22.0","(X)","±28.3","(X)","±32.2"
"ZCTA5 78734","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,326","270","3,536","165","1,316","1,027","1,028","431","89","520","256","264","423","182","1,357","1,336","1,409","1,382","779","749","239","129","388","234","1,616","165","13,196","149","627","285","390","153","237","132"
"        Margin of Error","±483","±116","±430","±87","±276","±177","±299","±143","±55","±160","±110","±119","±232","±91","±274","±275","±248","±246","±231","±236","±147","±79","±147","±129","±500","±145","±752","±83","±215","±128","±182","±89","±104","±91"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","6.2%","81.7%","3.8%","30.4%","23.7%","23.8%","10.0%","2.1%","12.0%","11.0%","13.1%","(X)","43.0%","(X)","98.5%","(X)","98.1%","(X)","96.1%","(X)","54.0%","(X)","60.3%","(X)","10.2%","(X)","1.1%","(X)","45.5%","(X)","39.2%","(X)","55.7%"
"        Margin of Error","(X)","±2.5","±4.0","±1.9","±6.0","±4.0","±5.6","±3.1","±1.3","±3.6","±4.4","±5.6","(X)","±27.6","(X)","±2.0","(X)","±2.0","(X)","±4.8","(X)","±30.8","(X)","±17.1","(X)","±8.7","(X)","±0.6","(X)","±15.0","(X)","±19.1","(X)","±22.7"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","93","3,264","165","1,087","1,000","1,012","247","41","288","171","117","(X)","85","(X)","1,073","(X)","1,309","(X)","733","(X)","129","(X)","98","(X)","144","(X)","74","(X)","149","(X)","78","(X)","71"
"        Margin of Error","(X)","±64","±465","±87","±276","±174","±302","±106","±36","±110","±98","±67","(X)","±63","(X)","±251","(X)","±248","(X)","±238","(X)","±79","(X)","±57","(X)","±142","(X)","±46","(X)","±81","(X)","±68","(X)","±53"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","84.3%","34.4%","92.3%","100.0%","82.6%","97.4%","98.4%","57.3%","46.1%","55.4%","66.8%","44.3%","(X)","46.7%","(X)","80.3%","(X)","94.7%","(X)","97.9%","(X)","100.0%","(X)","41.9%","(X)","87.3%","(X)","49.7%","(X)","52.3%","(X)","51.0%","(X)","53.8%"
"        Margin of Error","±5.3","±19.2","±4.8","±23.6","±11.4","±2.1","±2.0","±20.9","±31.9","±17.1","±25.4","±25.2","(X)","±22.6","(X)","±10.8","(X)","±4.5","(X)","±2.7","(X)","±28.7","(X)","±26.9","(X)","±18.6","(X)","±21.8","(X)","±28.4","(X)","±35.6","(X)","±50.6"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","177","272","0","229","27","16","184","48","232","85","147","(X)","97","(X)","263","(X)","73","(X)","16","(X)","0","(X)","136","(X)","21","(X)","75","(X)","136","(X)","75","(X)","61"
"        Margin of Error","(X)","±93","±166","±22","±157","±22","±19","±121","±43","±127","±71","±111","(X)","±59","(X)","±158","(X)","±62","(X)","±19","(X)","±22","(X)","±119","(X)","±25","(X)","±59","(X)","±119","(X)","±69","(X)","±95"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","15.7%","65.6%","7.7%","0.0%","17.4%","2.6%","1.6%","42.7%","53.9%","44.6%","33.2%","55.7%","(X)","53.3%","(X)","19.7%","(X)","5.3%","(X)","2.1%","(X)","0.0%","(X)","58.1%","(X)","12.7%","(X)","50.3%","(X)","47.7%","(X)","49.0%","(X)","46.2%"
"        Margin of Error","±5.3","±19.2","±4.8","±23.6","±11.4","±2.1","±2.0","±20.9","±31.9","±17.1","±25.4","±25.2","(X)","±22.6","(X)","±10.8","(X)","±4.5","(X)","±2.7","(X)","±28.7","(X)","±26.9","(X)","±18.6","(X)","±21.8","(X)","±28.4","(X)","±35.6","(X)","±50.6"
"ZCTA5 78735","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,972","379","2,972","288","1,200","627","857","460","161","621","321","300","505","310","1,548","1,422","840","840","627","618","282","253","687","195","3,221","232","9,793","102","969","287","507","128","462","159"
"        Margin of Error","±678","±220","±606","±158","±352","±201","±275","±166","±94","±196","±145","±119","±199","±157","±449","±414","±247","±247","±228","±229","±137","±141","±267","±109","±563","±129","±783","±66","±306","±132","±258","±84","±164","±83"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","9.5%","74.8%","7.3%","30.2%","15.8%","21.6%","11.6%","4.1%","15.6%","15.4%","15.9%","(X)","61.4%","(X)","91.9%","(X)","100.0%","(X)","98.6%","(X)","89.7%","(X)","28.4%","(X)","7.2%","(X)","1.0%","(X)","29.6%","(X)","25.2%","(X)","34.4%"
"        Margin of Error","(X)","±5.3","±7.0","±3.7","±6.9","±4.6","±5.5","±4.0","±2.4","±4.8","±6.2","±6.4","(X)","±20.6","(X)","±6.3","(X)","±5.2","(X)","±2.3","(X)","±13.2","(X)","±16.0","(X)","±3.9","(X)","±0.7","(X)","±13.5","(X)","±17.4","(X)","±17.2"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","144","2,204","237","1,002","334","631","359","97","456","216","240","(X)","95","(X)","1,161","(X)","539","(X)","425","(X)","200","(X)","160","(X)","122","(X)","102","(X)","232","(X)","92","(X)","140"
"        Margin of Error","(X)","±170","±589","±166","±341","±156","±253","±135","±59","±150","±98","±101","(X)","±94","(X)","±396","(X)","±220","(X)","±199","(X)","±123","(X)","±89","(X)","±76","(X)","±66","(X)","±113","(X)","±72","(X)","±76"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","70.6%","38.0%","74.2%","82.3%","83.5%","53.3%","73.6%","78.0%","60.2%","73.4%","67.3%","80.0%","(X)","30.6%","(X)","81.6%","(X)","64.2%","(X)","68.8%","(X)","79.1%","(X)","82.1%","(X)","52.6%","(X)","100.0%","(X)","80.8%","(X)","71.9%","(X)","88.1%"
"        Margin of Error","±6.7","±30.8","±8.0","±20.7","±9.4","±17.1","±10.7","±16.5","±28.9","±14.6","±21.8","±19.6","(X)","±22.4","(X)","±9.3","(X)","±15.5","(X)","±12.0","(X)","±22.2","(X)","±16.2","(X)","±30.2","(X)","±33.9","(X)","±12.0","(X)","±23.0","(X)","±14.5"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","235","768","51","198","293","226","101","64","165","105","60","(X)","215","(X)","261","(X)","301","(X)","193","(X)","53","(X)","35","(X)","110","(X)","0","(X)","55","(X)","36","(X)","19"
"        Margin of Error","(X)","±124","±219","±50","±110","±138","±93","±90","±67","±115","±95","±66","(X)","±111","(X)","±130","(X)","±146","(X)","±82","(X)","±62","(X)","±40","(X)","±105","(X)","±22","(X)","±43","(X)","±35","(X)","±26"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","29.4%","62.0%","25.8%","17.7%","16.5%","46.7%","26.4%","22.0%","39.8%","26.6%","32.7%","20.0%","(X)","69.4%","(X)","18.4%","(X)","35.8%","(X)","31.2%","(X)","20.9%","(X)","17.9%","(X)","47.4%","(X)","0.0%","(X)","19.2%","(X)","28.1%","(X)","11.9%"
"        Margin of Error","±6.7","±30.8","±8.0","±20.7","±9.4","±17.1","±10.7","±16.5","±28.9","±14.6","±21.8","±19.6","(X)","±22.4","(X)","±9.3","(X)","±15.5","(X)","±12.0","(X)","±22.2","(X)","±16.2","(X)","±30.2","(X)","±33.9","(X)","±12.0","(X)","±23.0","(X)","±14.5"
