"Label (Grouping)","Families","Families!!With related children of householder under 18 years","Families!!With related children of householder under 18 years!!With related children of householder under 5 years","Families!!With related children of householder under 18 years!!With related children of householder under 5 years and 5 to 17 years","Families!!With related children of householder under 18 years!!With related children of householder 5 to 17  years","Families!!RACE AND HISPANIC OR LATINO ORIGIN","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!White alone","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Black or African American alone","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!American Indian and Alaska Native alone","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Asian alone","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Native Hawaiian and Other Pacific Islander alone","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Some other race alone","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Two or more races","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Hispanic or Latino origin (of any race)","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!White alone, not Hispanic or Latino","Families!!Householder worked","Families!!Householder worked!!Householder worked full-time, year-round in the past 12 months","Families!!Householder 65 years and over","Families!!Family received --","Families!!Family received --!!Supplemental Security Income (SSI) and/or cash public assistance income in the past 12 months","Families!!Family received --!!Social security income in the past 12 months","Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER","Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Less than high school graduate","Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!High school graduate (includes equivalency)","Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Some college, associate's degree","Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Bachelor's degree or higher","Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS","Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!No child","Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!1 or 2 children","Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!3 or 4 children","Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!5 or more children","Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS","Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!No own child of the householder","Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!1 or 2 own children of the householder","Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!3 or 4 own children of the householder","Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!5 or more own children of the householder","Families!!NUMBER OF PEOPLE IN FAMILY","Families!!NUMBER OF PEOPLE IN FAMILY!!2 people","Families!!NUMBER OF PEOPLE IN FAMILY!!3 or 4 people","Families!!NUMBER OF PEOPLE IN FAMILY!!5 or 6 people","Families!!NUMBER OF PEOPLE IN FAMILY!!7 or more people","Families!!NUMBER OF WORKERS IN FAMILY","Families!!NUMBER OF WORKERS IN FAMILY!!No workers","Families!!NUMBER OF WORKERS IN FAMILY!!1 worker","Families!!NUMBER OF WORKERS IN FAMILY!!2 workers","Families!!NUMBER OF WORKERS IN FAMILY!!3 or more workers","Families!!INCOME DEFICIT","Families!!INCOME DEFICIT!!Mean income deficit for families (dollars)","Families!!TENURE","Families!!TENURE!!Owner occupied","Families!!TENURE!!Renter Occupied","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!50 percent of poverty level","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!125 percent of poverty level","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!150 percent of poverty level","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!185 percent of poverty level","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!200 percent of poverty level","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!300 percent of poverty level","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!400 percent of poverty level","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!500 percent of poverty level"
"            Estimate","391","345","288","0","57","","","279","0","0","0","0","0","112","114","277","233","206","4","","25","154","","0","0","159","232","","46","233","112","0","","200","79","112","0","","47","344","0","0","","0","319","48","24","","6,782","","300","91","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±313","±307","±301","±22","±79","","","±262","±22","±22","±22","±22","±22","±184","±185","±258","±205","±199","±15","","±43","±249","","±22","±22","±190","±269","","±63","±254","±184","±22","","±259","±91","±184","±22","","±54","±308","±22","±22","","±22","±303","±58","±38","","±3,451","","±314","±91","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","45.5%","51.6%","61.1%","-","3.5%","","","63.8%","-","-","-","-","-","0.0%","1.8%","63.5%","10.3%","10.7%","0.0%","","0.0%","100.0%","","-","-","13.8%","67.2%","","0.0%","76.4%","0.0%","-","","77.0%","30.4%","0.0%","-","","0.0%","51.7%","-","-","","-","55.8%","0.0%","0.0%","","(X)","","51.3%","26.4%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±43.7","±48.0","±54.4","**","±96.5","","","±44.4","**","**","**","**","**","±31.8","±98.2","±42.5","±24.7","±20.9","±100.0","","±69.8","±24.9","","**","**","±30.3","±55.5","","±51.5","±41.1","±31.8","**","","±48.8","±69.6","±31.8","**","","±50.9","±47.9","**","**","","**","±50.7","±50.4","±71.2","","(X)","","±51.3","±55.9","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"ZCTA5 78727","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    All families","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","7,728","3,503","1,096","688","1,719","","","4,797","803","66","1,569","0","163","330","1,290","3,944","6,439","4,765","960","","637","1,352","","293","816","1,584","5,035","","4,225","3,175","328","0","","4,316","3,084","328","0","","3,652","3,583","472","21","","587","2,400","4,053","688","","N","","3,955","3,773","","65","477","640","894","1,066","1,889","2,878","3,865"
"            Margin of Error","±606","±450","±240","±317","±282","","","±504","±261","±80","±252","±30","±107","±167","±237","±468","±544","±444","±226","","±231","±272","","±154","±320","±295","±457","","±466","±468","±122","±30","","±475","±470","±122","±30","","±478","±480","±183","±30","","±160","±349","±525","±216","","N","","±335","±556","","±58","±199","±243","±284","±292","±388","±439","±469"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","4.6%","6.7%","9.8%","9.6%","3.5%","","","1.7%","20.7%","0.0%","4.1%","-","26.4%","0.0%","3.8%","1.9%","3.6%","0.4%","6.3%","","35.3%","4.4%","","23.2%","5.1%","8.7%","2.1%","","2.8%","7.4%","0.0%","-","","2.8%","7.6%","0.0%","-","","4.6%","3.9%","9.7%","0.0%","","13.3%","4.8%","3.9%","0.0%","","(X)","","1.3%","8.0%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±2.4","±4.4","±8.7","±11.7","±3.9","","","±1.2","±16.7","±43.0","±3.7","**","±32.7","±12.7","±5.3","±1.4","±2.2","±0.4","±6.0","","±20.0","±4.4","","±23.1","±6.7","±7.4","±1.6","","±2.2","±4.8","±12.8","**","","±2.2","±4.9","±12.8","**","","±3.3","±2.6","±13.8","±76.1","","±11.0","±4.1","±3.1","±6.3","","(X)","","±1.2","±4.6","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","6,126","2,789","881","576","1,332","","","3,761","423","66","1,481","0","163","232","1,045","3,129","5,108","3,858","788","","265","974","","146","450","1,115","4,415","","3,337","2,521","268","0","","3,354","2,504","268","0","","2,656","3,076","373","21","","493","1,786","3,289","558","","N","","3,507","2,619","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±552","±429","±214","±308","±245","","","±442","±165","±80","±251","±30","±107","±143","±246","±397","±481","±371","±195","","±142","±220","","±101","±149","±274","±462","","±425","±418","±123","±30","","±429","±419","±123","±30","","±405","±453","±134","±30","","±139","±312","±444","±180","","N","","±313","±481","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","2.8%","3.8%","4.2%","2.4%","4.1%","","","1.2%","5.2%","0.0%","4.3%","-","26.4%","0.0%","4.1%","1.4%","2.2%","0.5%","7.6%","","30.6%","6.2%","","15.1%","4.9%","2.1%","2.4%","","2.0%","4.2%","0.0%","-","","2.0%","4.2%","0.0%","-","","1.7%","4.2%","0.0%","0.0%","","12.4%","2.2%","2.2%","0.0%","","(X)","","1.5%","4.6%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±1.9","±2.9","±4.2","±4.3","±4.8","","","±1.1","±8.3","±43.0","±3.9","**","±32.7","±17.5","±6.0","±1.3","±1.6","±0.5","±7.1","","±27.7","±5.9","","±25.1","±7.4","±2.9","±1.8","","±1.7","±3.2","±15.4","**","","±1.7","±3.2","±15.4","**","","±2.0","±3.0","±11.4","±76.1","","±11.7","±2.0","±2.4","±7.7","","(X)","","±1.4","±3.6","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female householder, no spouse present","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","1,146","495","159","66","270","","","746","297","0","29","0","0","74","147","599","986","603","141","","257","187","","69","240","396","441","","651","435","60","0","","672","414","60","0","","728","365","53","0","","46","427","560","113","","N","","291","855","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±356","±181","±121","±62","±147","","","±299","±194","±30","±37","±30","±30","±68","±92","±300","±341","±281","±119","","±171","±133","","±110","±268","±191","±165","","±308","±181","±56","±30","","±310","±186","±56","±30","","±308","±181","±61","±30","","±40","±166","±322","±113","","N","","±125","±341","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","11.8%","16.6%","44.0%","9.1%","2.2%","","","5.0%","33.0%","-","0.0%","-","-","0.0%","4.1%","5.2%","12.0%","0.0%","0.0%","","38.1%","0.0%","","0.0%","8.3%","29.0%","0.0%","","8.1%","18.9%","0.0%","-","","7.9%","19.8%","0.0%","-","","16.9%","3.3%","0.0%","-","","37.0%","17.8%","7.5%","0.0%","","(X)","","0.0%","15.8%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±10.8","±17.7","±42.1","±44.0","±4.2","","","±6.4","±29.9","**","±64.8","**","**","±40.6","±19.7","±6.3","±11.4","±7.2","±26.8","","±33.7","±21.2","","±42.0","±21.4","±23.6","±9.7","","±11.2","±19.6","±45.1","**","","±10.8","±20.5","±45.1","**","","±15.7","±7.9","±47.9","**","","±58.1","±19.3","±13.0","±31.6","","(X)","","±14.3","±14.0","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"ZCTA5 78728","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    All families","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","5,497","2,784","887","581","1,316","","","3,420","958","37","426","0","218","438","1,463","2,482","4,817","4,014","332","","184","505","","164","838","1,673","2,822","","2,713","2,428","339","17","","2,744","2,397","339","17","","2,757","2,441","282","17","","248","1,841","3,234","174","","N","","2,221","3,276","","403","803","943","1,178","1,315","2,024","2,872","3,391"
"            Margin of Error","±782","±593","±354","±178","±458","","","±519","±531","±69","±135","±26","±153","±287","±444","±516","±816","±792","±104","","±115","±166","","±91","±267","±511","±571","","±607","±607","±134","±29","","±609","±607","±134","±29","","±600","±569","±133","±29","","±144","±340","±731","±84","","N","","±435","±742","","±380","±408","±447","±462","±488","±514","±703","±710"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","12.3%","22.6%","13.4%","15.7%","31.8%","","","14.7%","14.3%","0.0%","3.8%","-","9.2%","0.0%","15.7%","11.9%","8.9%","8.2%","3.0%","","16.3%","14.5%","","43.9%","28.4%","6.0%","9.5%","","1.8%","23.6%","16.2%","0.0%","","1.8%","23.9%","16.2%","0.0%","","4.7%","21.1%","11.3%","0.0%","","46.8%","17.2%","7.6%","0.0%","","(X)","","2.3%","19.1%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±6.6","±11.9","±11.5","±11.1","±19.7","","","±9.8","±14.2","±57.4","±6.3","**","±15.2","±9.8","±10.0","±12.0","±6.6","±8.0","±4.6","","±18.7","±13.7","","±32.9","±15.4","±6.4","±10.8","","±1.7","±13.4","±14.7","±84.6","","±1.7","±13.5","±14.7","±84.6","","±3.4","±13.1","±15.7","±84.6","","±32.6","±6.7","±9.8","±22.5","","(X)","","±2.2","±10.6","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","3,823","1,890","745","391","754","","","2,601","223","37","417","0","180","365","1,021","2,045","3,421","2,880","231","","106","325","","125","484","774","2,440","","1,933","1,717","156","17","","1,933","1,717","156","17","","1,702","1,838","266","17","","71","1,167","2,480","105","","N","","2,018","1,805","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±591","±533","±348","±169","±385","","","±498","±185","±69","±138","±26","±141","±276","±377","±517","±603","±544","±87","","±97","±124","","±78","±179","±233","±563","","±364","±535","±88","±29","","±364","±535","±88","±29","","±361","±542","±133","±29","","±45","±327","±492","±59","","N","","±440","±508","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","10.6%","20.5%","10.1%","17.4%","32.5%","","","13.9%","4.0%","0.0%","3.8%","-","11.1%","0.0%","11.3%","13.1%","9.5%","9.3%","4.3%","","0.0%","3.1%","","50.4%","14.0%","1.2%","10.9%","","1.0%","20.7%","20.5%","0.0%","","1.0%","20.7%","20.5%","0.0%","","1.1%","19.4%","12.0%","0.0%","","0.0%","13.9%","9.9%","0.0%","","(X)","","2.5%","19.7%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±8.8","±16.5","±10.3","±15.3","±33.1","","","±12.5","±9.8","±57.4","±6.4","**","±18.8","±11.6","±10.2","±14.1","±9.1","±11.1","±6.8","","±33.1","±4.9","","±36.9","±13.3","±2.9","±12.4","","±1.4","±17.8","±26.5","±84.6","","±1.4","±17.8","±26.5","±84.6","","±1.6","±17.2","±16.9","±84.6","","±41.4","±8.5","±12.7","±33.3","","(X)","","±2.4","±17.0","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female householder, no spouse present","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","1,276","712","87","147","478","","","625","552","0","0","0","38","61","375","301","1,032","852","93","","66","169","","27","238","779","232","","564","565","147","0","","581","548","147","0","","769","494","13","0","","168","520","544","44","","N","","140","1,136","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±518","±242","±68","±85","±205","","","±198","±477","±26","±26","±26","±62","±44","±177","±112","±514","±506","±66","","±59","±103","","±42","±149","±465","±101","","±494","±230","±85","±26","","±496","±225","±85","±26","","±493","±185","±17","±26","","±135","±155","±498","±47","","N","","±85","±501","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","20.5%","33.7%","50.6%","15.6%","36.2%","","","22.7%","21.6%","-","-","-","0.0%","0.0%","30.4%","9.3%","10.2%","7.3%","0.0%","","31.8%","37.3%","","0.0%","71.4%","11.7%","0.0%","","3.7%","38.4%","15.6%","-","","3.6%","39.6%","15.6%","-","","13.1%","32.4%","0.0%","-","","63.7%","29.6%","0.0%","0.0%","","(X)","","0.0%","23.0%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±15.4","±16.8","±37.0","±19.2","±21.4","","","±16.1","±32.7","**","**","**","±56.6","±44.7","±25.5","±11.7","±9.8","±9.7","±36.0","","±40.3","±33.4","","±67.2","±27.1","±16.3","±17.5","","±8.3","±19.1","±19.2","**","","±7.9","±19.4","±19.2","**","","±15.9","±20.8","±96.8","**","","±38.4","±12.8","±7.9","±52.6","","(X)","","±26.9","±17.9","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"ZCTA5 78729","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    All families","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","6,409","2,866","818","540","1,508","","","4,781","291","57","1,024","0","87","169","1,020","3,959","5,365","4,102","656","","482","1,079","","122","689","1,798","3,800","","3,543","2,605","245","16","","3,690","2,471","248","0","","3,506","2,489","374","40","","625","1,964","3,404","416","","N","","3,380","3,029","","261","482","684","879","990","1,729","2,679","3,514"
"            Margin of Error","±530","±389","±236","±202","±273","","","±449","±176","±65","±328","±26","±61","±93","±190","±440","±501","±503","±161","","±266","±313","","±92","±219","±402","±499","","±486","±392","±125","±27","","±486","±384","±115","±26","","±503","±347","±148","±41","","±270","±396","±420","±143","","N","","±330","±509","","±249","±264","±254","±272","±284","±342","±468","±478"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","6.0%","4.6%","4.4%","7.6%","3.6%","","","2.6%","5.2%","0.0%","22.6%","-","16.1%","0.0%","6.5%","1.8%","2.7%","2.1%","0.0%","","37.3%","15.9%","","11.5%","2.2%","6.7%","6.2%","","7.2%","5.0%","0.0%","0.0%","","6.9%","5.3%","0.0%","-","","8.5%","3.5%","0.0%","0.0%","","35.4%","7.6%","0.4%","0.0%","","(X)","","2.0%","10.4%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±3.9","±2.8","±5.4","±11.1","±2.8","","","±1.5","±8.7","±46.2","±20.7","**","±26.3","±23.1","±5.0","±1.5","±1.7","±2.0","±6.6","","±38.3","±19.6","","±21.5","±3.7","±5.8","±6.0","","±6.7","±3.1","±16.7","±87.2","","±6.4","±3.2","±16.5","**","","±6.7","±2.9","±11.3","±55.2","","±29.0","±5.0","±0.7","±10.2","","(X)","","±1.3","±8.2","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
